type,measure,ICC,F,df1,df2,p,lower bound,upper bound,10%,90%
ICC2,1_0,0.18937669788742648,1.5829301072075015,30,30,0.2088542959824994,-0.6259409985284733,0.821931185763591,0.35081330798191557,-0.03859799119081758
ICC3,1_0,0.19347268750335853,1.5829301072075015,30,30,0.2088542959824994,-0.6493952712466406,0.8255756965392878,0.3508133080309786,-0.04480582100189459
ICC2,10_0,0.06438245623229479,1.1683007179913258,30,30,0.38384599475664943,-0.6981451550630478,0.7783817431675168,0,-0.20707164143578596
ICC3,10_0,0.0653867719488286,1.1683007179913258,30,30,0.38384599475664943,-0.7252628675464909,0.7826509824057083,0,-0.21006370940393349
ICC2,10_1,0.16936916741802735,1.6103491612150649,30,30,0.2459456134695484,-0.6367935869179492,0.8159659044727119,0.26573070303702784,-0.14070766248517458
ICC3,10_1,0.17970854625620483,1.6103491612150649,30,30,0.2459456134695484,-0.6504055950891963,0.8194965350381076,0.26573070303702784,-0.18038264878975083
ICC2,10_2,0.28185882658057454,1.9286007650428303,30,30,0.1105816344826243,-0.571862260910838,0.8518003525944564,0.491682657825531,0.10891958049812749
ICC3,10_2,0.2847998511611275,1.9286007650428303,30,30,0.1105816344826243,-0.5892602583231134,0.8541479529084439,0.4916826578634955,0.10253361373783731
ICC2,10_3,0.13677032343629386,1.3925111634219232,30,30,0.278039549177172,-0.6602341039992108,0.8043027691845105,0.2123717072554381,-0.1264656281801177
ICC3,10_3,0.13903196815653018,1.3925111634219232,30,30,0.278039549177172,-0.683188568279448,0.8077499542217392,0.2123717072554381,-0.1318892351525655
ICC2,10_5,0.30392954783641407,1.9714190422095288,30,30,0.07274940540370678,-0.5598493010523113,0.8594416144261547,0.46715994063145583,0.18545200759904107
ICC3,10_5,0.3070639312450673,1.9714190422095288,30,30,0.07274940540370678,-0.5792710677894211,0.8621850973913484,0.4576476127781414,0.18349544769753687
ICC2,10_6,0.23634716127862057,1.8190657831101888,30,30,0.17334450460640335,-0.5873383022371429,0.8355474488856611,0.4336546633659571,-0.04130085067561079
ICC3,10_6,0.24215866231048816,1.8190657831101888,30,30,0.17334450460640335,-0.6118765076437851,0.8394740347584282,0.4336546633659571,-0.05025679687615497
ICC2,10_7,0.4749221405734261,3.1984121233494287,30,30,0.01873026480264105,-0.402271259438584,0.90386306530688,0.7098452412919839,0.3520005588943037
ICC3,10_7,0.48343451998655906,3.1984121233494287,30,30,0.01873026480264105,-0.4083689466133483,0.906068531045756,0.7096292346764914,0.3347095770927859
ICC2,10_8,0.09883790370957976,1.2619293476546156,30,30,0.32240419649959356,-0.686696268419557,0.7923783983829887,0.1665063486913759,-0.0778297634128053
ICC3,10_8,0.10057756007395836,1.2619293476546156,30,30,0.32240419649959356,-0.7070235006433732,0.7955306052620995,0.1665063487009114,-0.0837073982837259
ICC2,10_9,0.25027212494537193,1.9019808515604872,30,30,0.15052054376840104,-0.5773960464545377,0.8412906379819246,0.4841499126197799,0.02898534475756775
ICC3,10_9,0.26171608759325227,1.9019808515604872,30,30,0.15052054376840104,-0.598451186865141,0.8456814172958668,0.48355418195543914,-0.00501763409963518
ICC2,100_0,0.295750975774534,2.038339972995968,30,30,0.10642294471893876,-0.5460118675373551,0.8542613576336698,0.5080282081999172,0.091167410313214
ICC3,100_0,0.3019056788425261,2.038339972995968,30,30,0.10642294471893876,-0.5732231827430766,0.8583659483659375,0.5025604015952746,0.08086750303629267
ICC2,100_1,0.2514075566997434,1.837129244650445,30,30,0.12865007549413782,-0.5430025422440539,0.838296341271761,0.4415613266872332,0.06083363471450651
ICC3,100_1,0.2646281942168321,1.837129244650445,30,30,0.12865007549413782,-0.604060073731655,0.8481524093427132,0.44618942666299827,0.05111003767935734
ICC2,100_10,0.08603829747027196,1.2374257778567148,30,30,0.35409869075252537,-0.6872265052817909,0.786095327821656,0,-0.26440051982939305
ICC3,100_10,0.08743626046594477,1.2374257778567148,30,30,0.35409869075252537,-0.7123688510796858,0.78999397444374575,0,-0.27176828794000685
ICC2,100_11,0.10773171121526212,1.288144329314801,30,30,0.31138744848894234,-0.6812199247086776,0.7951932835040102,0.16379136209984263,-0.10899159250403292
ICC3,100_11,0.10943046562537025,1.288144329314801,30,30,0.31138744848894234,-0.7019204395367535,0.798367922441718,0.16379136209984263,-0.11354971821680232
ICC2,100_12,0.2063983076759318,1.622577615391084,30,30,0.18475724216684175,-0.6171793461263393,0.827695603294379,0.40632364803274346,0.01382547364438527
ICC3,100_12,0.20969256063921965,1.622577615391084,30,30,0.18475724216684175,-0.6409959269524376,0.8311649563005922,0.40632364803274346,0.00921429434494416
ICC2,100_13,0.22179106382473737,1.6953755971351057,30,30,0.1683661199409688,-0.6031072437612773,0.8326307355995112,0.4531965990570525,0.05756548341959799
ICC3,100_13,0.22719027645200704,1.6953755971351057,30,30,0.1683661199409688,-0.6287379729974759,0.8365091260887945,0.45319659904956344,0.04399154862504131
ICC2,100_14,0.2130945237864988,1.6333394886691566,30,30,0.16751307683103253,-0.6170538555743805,0.8310232847413592,0.4194813879768214,0.06904625323335509
ICC3,100_14,0.21693006165637252,1.6333394886691566,30,30,0.16751307683103253,-0.6382703439349452,0.8341624116518085,0.4187223428953373,0.06479880156637868
ICC2,100_15,0.19857427786414744,1.6140744700569318,30,30,0.1926090491072975,-0.6151066657507226,0.8252010665867222,0.3972520543199256,0.01357706650639398
ICC3,100_15,0.2054391674024177,1.6140744700569318,30,30,0.1926090491072975,-0.642955316308036,0.8295988474122404,0.3972520543199256,1.6913961481807016e-4
ICC2,100_16,0.1629254218195842,1.441155380470552,30,30,0.2201459755467523,-0.6513966257771022,0.8151760418945916,0.3315632393710663,0.03110309581274487
ICC3,100_16,0.1654582669076278,1.441155380470552,30,30,0.2201459755467523,-0.6721188565930003,0.8182446248610254,0.33156323937101656,0.02625920766936679
ICC2,100_17,0.22955537718428703,1.744515722517363,30,30,0.1648396599490458,-0.5879205544496583,0.8335906631097274,0.449861973082905,0.02589570812383404
ICC3,100_17,0.2358084646791188,1.744515722517363,30,30,0.1648396599490458,-0.621268468541469,0.8387382080660853,0.4497922678109967,0.01051991290105411
ICC2,100_18,0.20314203187726845,1.6087206937191871,30,30,0.18525739397228785,-0.6211579357490031,0.8270020356480755,0.40406722846040494,0.02462962681642558
ICC3,100_18,0.20625151317159676,1.6087206937191871,30,30,0.18525739397228785,-0.6435445507221681,0.8303072641850591,0.4040672285973952,0.01423980245771947
ICC2,100_19,0.2725163701132497,1.911352087068363,30,30,0.12726135134319116,-0.5715644309077317,0.8478215588111359,0.48551234980645547,0.06349484557534293
ICC3,100_19,0.2762217956531514,1.911352087068363,30,30,0.12726135134319116,-0.5931503190357158,0.8509256561654293,0.48534251290394825,0.05817164268579616
ICC2,100_2,0.20769260413798143,1.655129478296545,30,30,0.19709952923759191,-0.6126186775450043,0.8267303422036087,0.4042702233631399,-0.01982978440293442
ICC3,100_2,0.21007888409352804,1.655129478296545,30,30,0.19709952923759191,-0.6372271673266967,0.8303189038486496,0.4042702233631399,-0.02113432263358269
ICC2,100_20,0.25478403371425423,1.8288653011095573,30,30,0.14152115761396136,-0.5887124601955686,0.8431328715277154,0.4973374481649794,0.07255283343583346
ICC3,100_20,0.2581527367546331,1.8288653011095573,30,30,0.14152115761396136,-0.6065205731591619,0.8456560259795997,0.4973374489419965,0.06850241134629209
ICC2,100_21,0.14127691040601556,1.409561270931386,30,30,0.273900487904947,-0.6577489795103816,0.8056168767478138,0.22309025152130577,-0.11295541468742176
