measure,icc_mean,icc_sd,lower_bound,upper_bound,group
82_41,0.16673487788659372,0.13821016495995322,-0.5388350852700405,0.7416058739675937,hv
82_42,0.4737349322309781,0.11729042499455301,-0.24899491416868746,0.8620586310910991,hv
82_43,0.4839402502239336,0.1411035469385855,-0.22955372153669984,0.8645405520051634,hv
82_44,0.25586180564731076,0.15920987391320973,-0.44285083807987974,0.7770577986012757,hv
82_45,0.47030890026498917,0.123024033931933,-0.2514992206080673,0.8610643263393526,hv
82_46,0.3257099119437277,0.1368452506147755,-0.38101691083962574,0.8060000869442296,hv
82_47,0.3214056137487327,0.11881196016773753,-0.40909455948662654,0.8075247995935843,hv
82_48,0.259978310748263,0.12360828368433197,-0.46016304636691197,0.7822187950388029,hv
82_49,0.13929084270185524,0.12790378480665554,-0.5416466024003175,0.7263507695882448,hv
82_5,0.15709426892715134,0.13361281992925841,-0.5425590311292684,0.736900738960942,hv
82_50,0.4452722407378285,0.14344186059635694,-0.2821324638910493,0.851757426006608,hv
82_51,0.45917235402807277,0.13215669830779733,-0.2643010922143821,0.8567842981417757,hv
82_52,0.2218600358477011,0.14002031919715438,-0.4792255806803265,0.7642482925411102,hv
82_53,0.2316481973200471,0.1348937184493619,-0.48362612488023227,0.7697695564480942,hv
82_54,0.2967767882073414,0.1402227451079369,-0.42586360490113645,0.7964795202415433,hv
82_55,0.34978561512615824,0.12314906235869408,-0.3698343985497384,0.8167638448195368,hv
82_56,0.26162078030533364,0.17009517665666124,-0.4532947484757503,0.78027272361264155,hv
82_57,0.27821989262762425,0.1506282812268583,-0.4319687990710304,0.7871062179787597,hv
82_58,0.4628613656250669,0.13836207541903217,-0.25564498641628447,0.8576560721581544,hv
82_59,0.3283509514720892,0.14963207950937465,-0.388805926038636,0.8072399616528493,hv
82_6,0.23664846557658323,0.15390249561353933,-0.46125743235611577,0.7678313537294481,hv
82_60,0.28780712393995755,0.16414089147903424,-0.4250585232887636,0.7901730306822373,hv
82_61,0.3917456966979477,0.08777232334968281,-0.30748126532101006,0.83670160413363,hv
82_62,0.29150615639893795,0.15080485479682892,-0.43117793606999555,0.7941170838639279,hv
82_63,0.12391673100238916,0.10930418419810037,-0.43749162943968656,0.6942480207021536,hv
82_64,0.4675466344427976,0.1257421430485765,-0.24862222199764733,0.8597716506099502,hv
82_65,0.3857204278987673,0.17475644546664942,-0.33507422810551457,0.8288006253834055,hv
82_66,0.2513328807470566,0.14259260146541686,-0.44502046906230425,0.7750005498244241,hv
82_67,0.1794900723746488,0.11173076430176733,-0.5253857815309745,0.747948945391104,hv
82_68,0.27857199631176705,0.15946359489799863,-0.44016962157503514,0.7877391510014006,hv
82_69,0.2189898220133142,0.15389825777245242,-0.4931153396001081,0.7634202515334373,hv
82_7,0.3484607231585538,0.14402720788541726,-0.3810716402409099,0.8169738020857832,hv
82_70,0.42965390401307935,0.13750584081801182,-0.2831472456986224,0.8457795171889357,hv
82_71,0.2779388807124587,0.12342243598010962,-0.4423538538950805,0.7892317271550408,hv
82_72,0.379405497330341,0.19194137311382303,-0.33262630900769474,0.824877396975017,hv
82_73,0.1354718548257533,0.12533019632294795,-0.5520864265376376,0.7258868918964457,hv
82_74,0.1217982159235666,0.12974974063843764,-0.5543459412841288,0.7173654478917271,hv
82_75,0.27476214450312525,0.10565286557445919,-0.45335537290967953,0.7896624670117698,hv
82_76,0.14448370652471468,0.1316980728026789,-0.5457651458487972,0.7300385557420866,hv
82_77,0.1345276291379587,0.12689045891141223,-0.5432685822574828,0.7232425789571802,hv
82_78,0.46303421575389353,0.1414559291427066,-0.23866977469291706,0.8564126639311217,hv
82_79,0.4707322266821697,0.12517550242230407,-0.24164148260275442,0.8607021525612908,hv
82_8,0.330955315815618,0.13599746845676433,-0.39636840302616333,0.8101660263564211,hv
82_80,0.4398322940815851,0.18705074433346183,-0.27329875138238746,0.8467535872351007,hv
82_81,0.20322159515971866,0.16277225491521194,-0.4973049188517952,0.7545603568912752,hv
82_9,0.22548421309455155,0.13136621704176699,-0.48974678254203236,0.767571049820493,hv
83_0,0.3563908300101407,0.15169115152123344,-0.36726398650720077,0.8187852677871197,hv
83_1,0.22958281794536586,0.14387298754084699,-0.48569519034741776,0.7687776630893347,hv
83_10,0.3239963020584511,0.1105681959157829,-0.40393909822457813,0.8077921572699036,hv
83_11,0.2951582511726688,0.13434005743878077,-0.3906046196173324,0.7917413196258856,hv
83_12,0.44812856499632964,0.12408913132729002,-0.2714058962333798,0.8532643522836317,hv
83_13,0.17224317318349852,0.12361936310884471,-0.5191980052851706,0.7422140225652605,hv
83_14,0.0685129317118558,0.10016368144097519,-0.5952912265414727,0.6927962244219943,hv
83_15,0.3342555452064995,0.11536773966822522,-0.3997065803915307,0.8129422972447087,hv
83_16,0.13966262378162625,0.12825020396463435,-0.5074858432859423,0.7204769487058611,hv
83_17,0.2834572682343014,0.21392972557131515,-0.39901104433860823,0.7826698170638572,hv
83_18,0.521971467015375,0.12219001830238524,-0.21044247702888147,0.8798877315486461,hv
83_19,0.3359204275421052,0.1544108155310498,-0.378398431231752,0.810301023591855,hv
83_2,0.3230706223346095,0.17487182406700114,-0.393840692925956,0.8044435624569346,hv
83_20,0.3809130800262113,0.13939590870897683,-0.31553520044102223,0.8274954110967498,hv
83_21,0.3777440257397349,0.13772422509767174,-0.2968416980896085,0.8236708959766278,hv
83_22,0.4151436982086227,0.13703742040079156,-0.3059072302426294,0.841531497498822,hv
83_23,0.2463486165268618,0.12354130412615806,-0.38035185022320256,0.7659310367289559,hv
83_24,0.45920041731846134,0.1224015200762136,-0.25229081925363084,0.8597798427225855,hv
83_25,0.42320754816591677,0.12696070818232183,-0.29300549074500026,0.8440748673101286,hv
83_26,0.45712527990232055,0.16491071296569512,-0.25099199192965527,0.8551714979495709,hv
83_27,0.4302276258375946,0.12255459037605611,-0.29398034210560087,0.8474160917496159,hv
83_28,0.44045521585264696,0.13837577710314178,-0.2824379232449444,0.8502083869409857,hv
83_29,0.08919574445550336,0.10469104689886646,-0.4804697382789304,0.681317337053054,hv
83_3,0.4688447640829369,0.10920752696656891,-0.25586387239921543,0.8608819492361256,hv
83_30,0.2851271771796956,0.13833060369353303,-0.4030486022692151,0.7892410625348368,hv
83_31,0.2846583873217659,0.11638448813682616,-0.4265188389278272,0.7908318454116312,hv
