mdd_icc_means,hv_icc_means,mdd_v2_icc_means
0.35108101534643055,0.2406040778799078,0.3009461592362684
0.29593666283674974,0.2716117636374513,0.37393740746478543
0.33980264345751393,0.2190287503234255,0.3260249389766151
0.331202894028933,0.24270058648651685,0.2773574231906616
0.3830340977543753,0.2919764419402735,0.2857116198342452
0.3807427247003008,0.25029423526711325,0.267585215127579
0.3320658476847875,0.263695555249918,0.27143449923642865
0.32432342294444677,0.21372167818647891,0.2781342651606813
0.42513152747752997,0.21109683371138682,0.2560542732331222
0.27241772208318865,0.2728616900783017,0.27115719507956537
0.31581547144811983,0.1994490034180962,0.25651467601773703
0.24562887470505274,0.22837063994882711,0.35524973021178313
0.39342916206058826,0.2737341773008292,0.306422157951798
0.3612531536132803,0.33916313937899084,0.2605276172585321
0.417618131816559,0.2362936351784056,0.2995468768805397
0.31769332795321154,0.18863458987036277,0.28620745100116524
0.35959953643204695,0.22602703181924758,0.34734871305879805
0.3789807248634282,0.2182067540685092,0.2744920856725813
0.2723617306153929,0.2825657280502849,0.2879715593191573
0.30606612960493795,0.27067861834018664,0.2899887160353716
0.36551562749402877,0.28361035521738803,0.2785957968639502
0.3235764966667738,0.1619463657580608,0.31360585584812034
0.30606795586370883,0.24323814821178513,0.32261148208245577
0.3378070512824425,0.3080920375346863,0.3226549401185396
0.3877802551078278,0.1882886480683141,0.30903279531326433
0.3768287715451087,0.24946973208553117,0.3849764957923782
0.3285951364602207,0.2615525979098261,0.27762058668544265
0.29516993217015247,0.2491032876977899,0.2943338625933447
0.3767838023337096,0.20626462841975512,0.27511077543290724
0.3692229153673138,0.2616587672271164,0.30188071057753735
0.4131968849654842,0.1677324545742803,0.29062952872858966
0.4509405999174946,0.18167334836914387,0.38581101461003475
0.361257885100218,0.27151122865916283,0.34111603806474333
0.337801614241192,0.22737564471840013,0.3561187062066425
0.36322886872768534,0.26761694879404424,0.3423315849641894
0.2955600954520347,0.30469915821748433,0.31115600259798304
0.4347126762675736,0.3050231871322267,0.34851151264260893
0.3653012315518349,0.17217077492106403,0.25666772827981127
0.40693637929729254,0.2870665300291053,0.2975375765825282
0.4154150909306071,0.3055046007753885,0.27060646050866477
0.3078026448574375,0.3137503895338484,0.30984067806846155
0.36033476360290534,0.2245700261512988,0.2274154932753363
0.30091775258138426,0.22410055674279158,0.27027399661466966
0.30125410941499065,0.2402613295632931,0.289841714949909
0.31381984806351315,0.2639752243401379,0.3167082995847144
0.2650737681535706,0.2559973954792245,0.29105864882551274
0.3274466121577228,0.22824511023561994,0.3089745756006879
0.32780491263422146,0.2211209033952396,0.3072742706180796
0.31390293945371556,0.32130578765557427,0.2844724514693009
0.3921485046095758,0.2525299176577878,0.25108569772030725
0.3907223317039538,0.25167959763995507,0.29223965272473157
0.34395470004773876,0.21923647641527882,0.31804647400516395
0.31403851833522267,0.20920121228482924,0.2778880165417459
0.35789971563020534,0.245546346499085,0.33282309605311217
0.3384433288619138,0.2805632180760748,0.31154983270621284
0.35826126136782505,0.24240390862864578,0.27050892719759656
0.3078556102621674,0.2737474288898306,0.2535791433497313
0.31621236609996034,0.3040271413954768,0.3193388991470945
0.3079395375211885,0.28367217395381156,0.26917647564604874
0.3607230114452782,0.2129075478322397,0.3187204323988422
0.23683225085369727,0.2116429460540469,0.291338241176232
0.26091348253257696,0.2726368408788184,0.25781319204276143
0.31745958220809845,0.23573844352867088,0.29699374718786464
0.32444899721711595,0.17513895986009284,0.297362679889073
0.33636142232122146,0.18540703939855732,0.2612871604186795
0.39094590125310286,0.21343690195995138,0.30712632292595377
0.30777822039340813,0.2428911828749687,0.26504546264208617
0.3681137471200706,0.2724709319717682,0.24690696949086138
