measure,icc_mean,icc_sd,lower_bound,upper_bound,group
1_0,0.6372969660181385,0.08276909290212878,0.14571720691476084,0.8778978554855497,mdd
10_0,0.39929470739465023,0.1097344031844467,-0.17605379212142772,0.7748616320732444,mdd
10_1,0.32887619377578076,0.10937872733897226,-0.2507657091995508,0.7397500441317912,mdd
10_2,0.39029963883222635,0.11513008771268293,-0.1808803559304731,0.7697702343389714,mdd
10_3,0.6082855540149863,0.09139324206009795,0.10006487683039773,0.8664686136174685,mdd
10_4,0.36989495171326325,0.10983109452929445,-0.2036639877763762,0.7598119124328211,mdd
10_5,0.35491155091222937,0.12573007779925538,-0.22091155888177336,0.7518249685892641,mdd
10_6,0.34220333671200437,0.12788187633523104,-0.23857849236796722,0.746264367061641,mdd
10_7,0.5641880289110939,0.0749356163621575,0.0302807539034505,0.8492396495231601,mdd
10_8,0.34014426253804125,0.11088838107428624,-0.2400127754941657,0.7457242865690562,mdd
10_9,0.4456599967253366,0.09984765145146693,-0.12240130956202054,0.7968159740873658,mdd
100_0,0.2268224889345359,0.13235066628005226,-0.3397097986486356,0.6816852226910792,mdd
100_1,0.13818208259113127,0.1203766921078187,-0.4333083495277094,0.6341476253169632,mdd
100_10,0.34133971070276453,0.12696882876210086,-0.2242832187514945,0.7433640505270697,mdd
100_11,0.4466142362138079,0.10189872268529122,-0.11807916177879425,0.7971734302794652,mdd
100_12,0.41364737467969803,0.1152335015984113,-0.15676904616489226,0.7809827934974682,mdd
100_13,0.09049510627155671,0.09618122610770398,-0.4698322628751778,0.6050122641860449,mdd
100_14,0.2432479998671817,0.11365001095633727,-0.3278057016025825,0.6927137781489107,mdd
100_15,0.4366711677710137,0.09468014599731042,-0.13267376484179325,0.7928143830831479,mdd
100_16,0.2502194966845714,0.13194211121778252,-0.32989591517920036,0.6975568221475688,mdd
100_17,0.42570236412865925,0.13794507595967861,-0.13905321375660074,0.7856902112438986,mdd
100_18,0.33553541883820875,0.10821145829000985,-0.2335787674370485,0.7418569212781055,mdd
100_19,0.41600227053668926,0.08995726722636845,-0.1604813299422415,0.7836087961901558,mdd
100_2,0.3063931544743108,0.11910318438492319,-0.2636195732644912,0.7258871485751545,mdd
100_20,0.2686056416277302,0.13555472079240416,-0.3027088497838945,0.705302514250728,mdd
100_21,0.3515231709033728,0.09373389679475617,-0.21784921636645596,0.751759029006305,mdd
100_22,0.38542425522140294,0.11936768467442846,-0.18901638953899713,0.7674261632690754,mdd
100_23,0.38218158054653584,0.10249830907935578,-0.19472137931474529,0.7666385660302809,mdd
100_24,0.3799816178951973,0.1176886062889357,-0.19383526252391284,0.7648297507706637,mdd
100_25,0.33457625402090685,0.11183766528488939,-0.24081998064831595,0.7419982187330751,mdd
100_26,0.23534001256519263,0.11777009677227149,-0.33970515520261513,0.6890242886955554,mdd
100_27,0.5049375455381314,0.09690065751159933,-0.047634032412111255,0.8234238910540496,mdd
100_28,0.4845950240242167,0.10309848228260185,-0.06900029712724619,0.8142300265138852,mdd
100_29,0.3492040626723866,0.14689367682068438,-0.20598484627452124,0.7450117682567422,mdd
100_3,0.4573946467600459,0.12667817276939258,-0.09972071540604774,0.8008040258695855,mdd
100_30,0.39419764516296735,0.1227219744820375,-0.18080473625018148,0.7718923323836593,mdd
100_31,0.33871406686321415,0.12275992844292251,-0.22589828583625784,0.742908854191189,mdd
100_32,0.38908495832409373,0.1332270871422695,-0.1790059196761723,0.7681029492347261,mdd
100_33,0.18177563783341422,0.1199024512511536,-0.39502338796120573,0.660046858037368,mdd
100_34,0.34483169842828515,0.08379002995710248,-0.23115272226653424,0.7485075491510481,mdd
100_35,0.23296321301752124,0.13147690212092308,-0.3310993821627697,0.6851705304479774,mdd
100_36,0.47444198680622596,0.10659199072368651,-0.10905938156103152,0.8142727484190959,mdd
100_37,0.2775960155308986,0.11081004222072871,-0.3003968064145041,0.7126665858665339,mdd
100_38,0.43563417000578347,0.10661885140857671,-0.13375910220250048,0.7920705513787327,mdd
100_39,0.22595305970869795,0.10463480999904518,-0.35113963426739164,0.6848469398318431,mdd
100_4,0.5082802686595388,0.10730289363598608,-0.04307973467720571,0.8248770673893367,mdd
100_40,0.27562798298655866,0.10978701965275355,-0.30736532190852495,0.7123187645793915,mdd
100_41,0.25389204477072397,0.128412532532884,-0.32340675515318446,0.6990512596948766,mdd
100_42,0.3712779415952475,0.09263372113783763,-0.20083147972567486,0.7622456554266662,mdd
100_43,0.3272329021714451,0.11869287815008402,-0.2540553886578317,0.7389247228678651,mdd
100_44,0.4842236816883066,0.10971852168105148,-0.07656430914973282,0.8150879792381822,mdd
100_45,0.21369864543651157,0.10296262357183358,-0.3610449969911243,0.6777268853477618,mdd
100_46,0.3734904475777199,0.14512125750158117,-0.20055024296762222,0.7607264532683047,mdd
100_47,0.3139047548965178,0.14175606249945277,-0.2533134284140983,0.7289288974887894,mdd
100_48,0.28004980603415686,0.14428205473187897,-0.29247223198117617,0.7119254647491012,mdd
100_49,0.26806536397517866,0.14197613244462767,-0.31066526121908905,0.7064643477584251,mdd
100_5,0.0945376723762455,0.09928204104683423,-0.4691325929379077,0.6080402205104233,mdd
100_50,0.2788438401555638,0.13263604401410262,-0.2917820940470382,0.7110160631997778,mdd
100_51,0.191313085564063,0.13052893954810002,-0.37057327746955127,0.6609340322216191,mdd
100_52,0.3591312155973267,0.09577568095811546,-0.22100001490078,0.7559783104756381,mdd
100_53,0.23666311844985785,0.1290910751498705,-0.34108252698227404,0.6897326326001139,mdd
100_54,0.42639171982090074,0.09574980183595797,-0.1490481481947334,0.7884923320851803,mdd
100_55,0.30214592951791763,0.12603371077015424,-0.257171071563678,0.7224929213890474,mdd
100_56,0.4572732247459733,0.08153219347865708,-0.15439219103351426,0.8133507943107731,mdd
100_57,0.17969578643499132,0.13554123582686622,-0.38544506591731326,0.65519665520596,mdd
100_58,0.34676886952218317,0.1136741168526082,-0.22854335219084257,0.7485653522183259,mdd
100_59,0.38229236862190136,0.0928577155498599,-0.1979903009417496,0.7676141304493236,mdd
100_6,0.3645223238614053,0.12207346429761354,-0.20888797619120653,0.7570488010455124,mdd
100_60,0.2564726705736609,0.13639743095059212,-0.31911392023554064,0.6998789062519732,mdd
100_61,0.4277215838798445,0.14221247832267325,-0.13719756891391438,0.7865773625729197,mdd
100_62,0.3401336662133717,0.11387171832869988,-0.24201461244169978,0.7456662077730973,mdd
100_63,0.34818907133485855,0.12615123419859395,-0.23156938026904444,0.7492090309667193,mdd
100_64,0.4461137144884765,0.14605030001611136,-0.11173109653935916,0.7946093304081183,mdd
100_65,0.4496539356364631,0.08247516818043278,-0.12716182603488593,0.8017092030172819,mdd
