measure,icc_mean,icc_sd,lower_bound,upper_bound
1_0,0.4777257353928015,0.08612147739658364,0.0513300633128354,0.7581239892441524
10_0,0.3631323951140148,0.08444146530285265,-0.08690403452043843,0.6920388960398354
10_1,0.31800471188412055,0.08764262057353533,-0.13387747019538115,0.6636645135321807
10_2,0.29561113586733484,0.10127937810143393,-0.1517830711503992,0.6476737870611122
10_3,0.5126559701909281,0.08602800185983914,0.0948340658712103,0.7778893649350904
10_4,0.2751055995610557,0.09160371204082873,-0.17672506139562602,0.6357626217048391
10_5,0.2493519467564702,0.10664628479962163,-0.20448716662835933,0.618567982004333
10_6,0.3522822950051451,0.10406338014624628,-0.09856679930192247,0.6849202849905931
10_7,0.5088959568486772,0.06830042684803816,0.09049228649480802,0.7756483835337843
10_8,0.3347489304242114,0.095977799321029,-0.11861389067859579,0.6744969272231669
10_9,0.3950291897071975,0.08590597809123604,-0.049088020551432264,0.7108968820985094
100_0,0.23345390501565053,0.09922393798164743,-0.2228223089942431,0.6089350699203511
100_1,0.15721085249773598,0.10904550141792084,-0.2931741897164553,0.5551976549433644
100_10,0.3155229369980288,0.0964287380684489,-0.13819245709058023,0.6622375665865844
100_11,0.3079002935024159,0.0891186615671038,-0.14890606608481155,0.6581747099222925
100_12,0.3241164676849148,0.1011601285908526,-0.1302815269679297,0.6677780761899875
100_13,0.11293480520605581,0.0924719100023028,-0.33597776063885026,0.5245229765364523
100_14,0.23299076633054122,0.09549529764137366,-0.22408791680486087,0.608899884688726
100_15,0.29901125678699847,0.09088134195314566,-0.153542174208731,0.6514887076828487
100_16,0.16123623483473348,0.10081883463793247,-0.29510756340056943,0.5600403974544372
100_17,0.23402177463813964,0.10921326842694132,-0.22404507721190448,0.6095079281873008
100_18,0.257069348765525,0.09538906688733124,-0.19535499186051142,0.6236458223730339
100_19,0.30683928335754057,0.08037538050056178,-0.149437863258752,0.6576016413851781
100_2,0.32645534858082453,0.10168280394403108,-0.1269508423054005,0.6690778822744397
100_20,0.25307819900267853,0.10840890961015093,-0.20491642212751082,0.6221703185011065
100_21,0.27030931441497247,0.08395458407479403,-0.1820361079594571,0.6328210808676907
100_22,0.3650401648962815,0.10517427703904413,-0.083847309987545,0.6925870527384542
100_23,0.3048441176719847,0.09183996230427467,-0.14972411488877385,0.6557175899689387
100_24,0.29998114610898785,0.10291727828585538,-0.15229357030475535,0.6515880724508211
100_25,0.2678811126334724,0.10058740087297181,-0.18586269612614667,0.6309201754447997
100_26,0.29867463243767833,0.09236527150767768,-0.15814700347763128,0.6521638854278036
100_27,0.3023742337179108,0.10966977537764842,-0.15208005564525068,0.653499711427776
100_28,0.30102785703759144,0.10818167102943746,-0.15370826576110388,0.6528287378004546
100_29,0.2445940695209907,0.10985773496910019,-0.2061712468145308,0.6145881323884763
100_3,0.380550440023125,0.09980103381144849,-0.06492788721594055,0.7017967189105282
100_30,0.3407152518681864,0.11315279153196128,-0.11006765434090537,0.6773603202787388
100_31,0.2764291253197061,0.09789519138914111,-0.1746335088840026,0.6361348121833593
100_32,0.2766733073968928,0.11833813966626469,-0.17741022401222367,0.6364656051676731
100_33,0.1652002757596833,0.09402134239752442,-0.2901296292754009,0.5627269426290085
100_34,0.23639191975206972,0.0887358631816828,-0.21916814544288055,0.6109791836467777
100_35,0.1934949005276761,0.1059146028381075,-0.25800893757228127,0.5803670393679818
100_36,0.3026732649327883,0.10660204745408729,-0.150742090415376,0.6536451217297627
100_37,0.24138527482857963,0.09081486534514928,-0.21510509132768113,0.6144422804990617
100_38,0.26255951966641977,0.10225992557876457,-0.19538027169538294,0.6285617268288053
100_39,0.11220590413140549,0.07791293918671655,-0.34236809939332874,0.5261865145784039
100_4,0.3505907864148958,0.1015152500596161,-0.1006554569792181,0.683973876338601
100_40,0.21328690569844336,0.09441325653295878,-0.2412992517878367,0.5951630164043799
100_41,0.15454101469587767,0.09468606752113733,-0.3019480435425379,0.555646587914304
100_42,0.3329964259277173,0.08837406868531686,-0.11886458811789605,0.673351319017144
100_43,0.2517664590045587,0.10064298056569981,-0.20714072863582553,0.6217276380942509
100_44,0.3543420188741488,0.08868988979162518,-0.09612325240986708,0.6865669118059402
100_45,0.1810269146348964,0.09226775085683224,-0.2739676638726327,0.5734640624743832
100_46,0.27969734894580783,0.11385530461651495,-0.17618868203598545,0.6389839965265899
100_47,0.2561362750241875,0.10032291499670447,-0.19314302778198206,0.622247252367245
100_48,0.26206057070644034,0.11695371343233685,-0.19222962764679372,0.626988917043703
100_49,0.24016707528370668,0.1066555281750321,-0.2183404630578274,0.6137864617559055
100_5,0.05673703100778669,0.07199932119667758,-0.38798279612429376,0.48383212886892835
100_50,0.1755706961288093,0.10303032488172016,-0.2806010682623159,0.5697739221984175
100_51,0.2014589992588728,0.1033319638817597,-0.25294057116414903,0.5867639961316259
100_52,0.25782124173559534,0.08449563997007464,-0.2006746018274517,0.6260697523038176
100_53,0.09255834657265229,0.08595061124473205,-0.3591215725003474,0.5112481796769224
100_54,0.2780699446750903,0.09439132112895636,-0.17786072031282554,0.6385236762042601
100_55,0.3015610296059466,0.09762148155758396,-0.1462521596982287,0.65269689389598
100_56,0.3466803963440463,0.08424799403934918,-0.10429669778961745,0.6820829782042463
100_57,0.06905096231513926,0.08094295903484626,-0.376064002942439,0.49234934112214396
100_58,0.293591298329979,0.0961464216333622,-0.15722690981268178,0.6477153752425978
100_59,0.32008988992302695,0.0826547809628069,-0.13493075521997092,0.6657722097196748
100_6,0.19494901399556136,0.09670002677110437,-0.2638131313827258,0.5838056796563459
100_60,0.216806202098895,0.10070302691258984,-0.23943900405139665,0.5977107564339533
100_61,0.3475796455698073,0.1157051503762565,-0.10200751065589225,0.6813190382161345
100_62,0.24443621937393542,0.10074213688525284,-0.2127240568334711,0.6164245468593477
100_63,0.3288365050832325,0.10952933315800249,-0.12390282253999686,0.6702101972700342
100_64,0.41349333255103327,0.12276051695373952,-0.023794144621535195,0.7200722920992368
100_65,0.3053806840042426,0.09891220259752362,-0.14707573146205785,0.6556056453681994
100_66,0.3760804519941575,0.09251899709922172,-0.07245248358109026,0.6997279020314073
100_67,0.2883469079890935,0.13165704542975232,-0.16106257373125354,0.6424487984230544
100_68,0.32377412005566475,0.0971828549074084,-0.13004493025161568,0.6675433676445921
100_69,0.3232873371125911,0.09505438316857036,-0.1314045790805286,0.6674635971995001
100_7,0.373250191151532,0.07811389584697519,-0.07579059956131808,0.6984061533593768
100_70,0.3696036776418532,0.0890484844811945,-0.08490187296998548,0.6979864770324049
100_71,0.18423746437085553,0.11043740129623375,-0.2728050969158005,0.5756441254669223
100_72,0.1381495244793964,0.1003043362809461,-0.31179701869174486,0.5420913284669251
100_73,0.30331423587665873,0.09896891990517946,-0.15175065512989536,0.6546408703899275
100_74,0.265763574330188,0.10228522560455326,-0.19132947136323442,0.6304407427451268
100_75,0.3482238965393691,0.08440535994015501,-0.10435955402889577,0.683120644396592
