idx,subject,acquisition,reconstruction,run,suffix,space,desc,session,task,report_type,chunk,been_on_screen,report,rater,note,usable,dn_action,usable_rev,note_rev,reviewed,idx_fmap,chunk_fmap,from_fmap_corrected_run
41.0,23516,,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,0.0,True,1.0,dn,,True,,,,False,,,False
42.0,23519,,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,0.0,True,1.0,dn,,True,,,,False,,,False
43.0,23520,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,0.0,True,1.0,dn,,True,,,,False,,,False
44.0,23528,,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,0.0,True,1.0,dn,,True,,,,False,,,False
45.0,23540,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,0.0,True,1.0,dn,,True,,,,False,,,False
46.0,23543,mpragePURE,prenorm,1.0,T1w,MNI152NLin2009cAsym,,v1,,MNI152NLin2009cAsym,0.0,True,1.0,dn,,True,,,,False,,,False
47.0,23544,,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,0.0,True,1.0,dn,,True,,,,False,,,False
48.0,23546,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,0.0,True,1.0,dn,,True,,,,False,,,False
49.0,23549,,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,0.0,True,1.0,dn,,True,,,,False,,,False
0.0,23550,,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,1.0,True,1.0,dn,ghosting,True,,,,False,,,False
1.0,23551,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,v1,,MNI152NLin2009cAsym,1.0,True,1.0,dn,,True,,,,False,,,False
2.0,23553,,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,1.0,True,1.0,dn,ghosting,True,,,,False,,,False
3.0,23554,,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,1.0,True,1.0,dn,,True,,,,False,,,False
4.0,23557,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,1.0,True,1.0,dn,,True,,,,False,,,False
5.0,23564,,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,1.0,True,1.0,dn,,True,,,,False,,,False
7.0,23574,,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,1.0,True,1.0,dn,,True,,,,False,,,False
8.0,23576,,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,1.0,True,1.0,dn,,True,,,,False,,,False
9.0,23593,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,1.0,True,1.0,dn,,True,,,,False,,,False
11.0,23607,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,1.0,True,1.0,dn,,True,,,,False,,,False
13.0,23613,mpragePURE,prenorm,1.0,T1w,MNI152NLin2009cAsym,,v1,,MNI152NLin2009cAsym,1.0,True,1.0,dn,ghosting,True,,,,False,,,False
14.0,23614,mpragePURE,prenorm,1.0,T1w,MNI152NLin2009cAsym,,v1,,MNI152NLin2009cAsym,1.0,True,1.0,dn,,True,,,,False,,,False
15.0,23625,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,1.0,True,1.0,dn,,True,,,,False,,,False
16.0,23639,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,1.0,True,1.0,dn,,True,,,,False,,,False
17.0,23641,,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,1.0,True,1.0,dn,,True,,,,False,,,False
18.0,23643,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,1.0,True,1.0,dn,,True,,,,False,,,False
19.0,23644,,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,1.0,True,1.0,dn,,True,,,,False,,,False
20.0,23649,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,1.0,True,1.0,dn,,True,,,,False,3.0,0.0,True
21.0,23656,mpragePURE,prenorm,1.0,T1w,MNI152NLin2009cAsym,,v1,,MNI152NLin2009cAsym,1.0,True,1.0,dn,ghosting,True,,,,False,,,False
22.0,23668,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,1.0,True,1.0,dn,,True,,,,False,,,False
23.0,23672,,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,1.0,True,1.0,dn,,True,,,,False,,,False
24.0,23673,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,1.0,True,1.0,dn,,True,,,,False,,,False
25.0,23674,,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,1.0,True,1.0,dn,,True,,,,False,4.0,0.0,True
26.0,23689,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,1.0,True,1.0,dn,,True,,,,False,,,False
27.0,23693,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,1.0,True,1.0,dn,,True,,,,False,,,False
28.0,23717,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,1.0,True,1.0,dn,,True,,,,False,,,False
29.0,23718,,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,1.0,True,1.0,dn,,True,,,,False,,,False
30.0,23720,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,1.0,True,1.0,dn,,True,,,,False,,,False
31.0,23732,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,1.0,True,1.0,dn,,True,,,,False,,,False
32.0,23745,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,1.0,True,1.0,dn,,True,,,,False,,,False
33.0,23746,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,1.0,True,1.0,dn,,True,,,,False,,,False
